measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Middle East & North Africa - WB,Both,50 to 74 years,Malaria,Number,2007,724.9429200445882,1521.378092215003,205.59142600502616
Deaths,Middle East & North Africa - WB,Both,75 plus,Malaria,Number,2007,102.93202083667613,227.3081061594493,29.26496716301325
Deaths,East Asia & Pacific - WB,Both,Under 5,Malaria,Number,2001,2078.104180789162,4931.3791319505235,819.81061173818
Deaths,East Asia & Pacific - WB,Both,5-14 years,Malaria,Number,2001,867.0408197295578,1991.6458151331838,360.54743263230984
Deaths,East Asia & Pacific - WB,Both,15-49 years,Malaria,Number,2001,4637.155659260873,10374.549032538946,2088.5477528397128
Deaths,East Asia & Pacific - WB,Both,50 to 74 years,Malaria,Number,2001,2217.330027879977,5033.244441542311,968.574092229897
Deaths,East Asia & Pacific - WB,Both,75 plus,Malaria,Number,2001,166.43742955886637,368.64486169709187,70.50633444936531
Deaths,Middle East & North Africa - WB,Both,Under 5,Malaria,Number,2000,235.9414995951098,616.2053638190399,54.8254694711488
Deaths,Middle East & North Africa - WB,Both,5-14 years,Malaria,Number,2000,88.48553556343369,233.55481774314288,22.080675804285264
Deaths,Middle East & North Africa - WB,Both,15-49 years,Malaria,Number,2000,4006.916782385926,8040.150887536447,1377.581108435994
Deaths,Middle East & North Africa - WB,Both,50 to 74 years,Malaria,Number,2000,1003.4869464534968,2470.470564143657,256.8419966429091
Deaths,Middle East & North Africa - WB,Both,75 plus,Malaria,Number,2000,50.54844762660637,127.1258994404927,12.760271362065572
Deaths,North America,Both,Under 5,Malaria,Number,2001,0.0,0.0,0.0
Deaths,North America,Both,5-14 years,Malaria,Number,2001,0.0,0.0,0.0
Deaths,North America,Both,15-49 years,Malaria,Number,2001,0.0,0.0,0.0
Deaths,North America,Both,50 to 74 years,Malaria,Number,2001,0.0,0.0,0.0
Deaths,North America,Both,75 plus,Malaria,Number,2001,0.0,0.0,0.0
Deaths,Sub-Saharan Africa - WB,Both,Under 5,Malaria,Number,2001,569720.997155919,934208.8224449339,286879.8990217223
Deaths,Sub-Saharan Africa - WB,Both,5-14 years,Malaria,Number,2001,31826.550884515542,53500.69903279288,15071.925256014703
