"","ID","round","phase","OB_1","OB_2","OB_3","OB_4","AS_1","AS_2","AS_3","AS_4","dwmean_1","dwmean_2","dwmean_3","dwmean_4","schemas_1","schemas_2","schemas_3","schemas_4","RT_1","RT_2","RT_3","RT_4","payoff","accuracy","performance","novelty","breakR","afterbreak","type"
"104","H1323",9,18,14,7,12,3,25,8,23,2,0.277807692,0.339888889,0.189208333,0.196629448,15,8,3,14,7.223,3.963,5.773,1.353888344,4,0,16,1,9,1,"H"
"105","H1323",10,19,16,9,5,14,46,11,7,19,0.198829787,0.300083333,0.07025,0.315344417,11,12,7,14,9.812,6.271,1.03,6.869888344,4.5,0,18,1,9,1,"H"
"106","H1323",10,20,16,4,6,10,38,3,6,15,0.254410256,0.31225,0.155857143,0.2993125,3,3,15,3,11.326,1.81,1.653,5.594888344,5.25,0.5,21,1,9,1,"H"
"107","H1323",11,21,17,8,12,6,32,14,24,7,0.234454545,0.3068,0.24772,0.238736043,15,8,15,15,7.737,5.195,6.193,3.001888344,5,0.5,20,1,9,1,"H"
"108","H1323",11,22,16,3,9,10,29,6,11,17,0.323433333,0.151428571,0.192333333,0.241938241,7,7,7,1,9.703,1.497,3.229,4.822888344,5.25,0.5,21,1,9,1,"H"
"109","H1323",12,23,14,6,13,8,38,8,26,11,0.151974359,0.266888889,0.113814815,0.209490695,7,7,8,3,8.035,3.151,3.463,2.919888344,4.75,0,19,1,9,1,"H"
"110","H1323",12,24,16,11,4,9,42,21,7,8,0.213674419,0.19,0.191125,0.335876483,15,12,12,11,10.593,4.851,2.496,3.599888344,5,0,20,1,9,1,"H"
"111","H1323",13,25,14,15,11,13,27,18,21,19,0.185535714,0.192210526,0.189318182,0.206394417,11,12,14,7,5.804,4.056,4.165,4.704888344,4.5,0,18,1,9,1,"H"
"112","H1323",13,26,17,1,5,6,20,0,6,8,0.361,0.624,0.269571429,0.185555556,15,15,15,15,8.267,1.389,2.464,2.620888344,6,1,72,1,9,1,"H"
"113","H1323",14,27,12,16,13,6,17,25,19,8,0.309444444,0.192461538,0.18005,0.264098705,7,2,3,3,5.913,5.538,4.118,2.984888344,5,0,20,1,9,1,"H"
"114","H1323",14,28,18,7,9,2,39,8,12,2,0.219975,0.175111111,0.282076923,0.276962781,11,14,11,11,8.799,2.527,4.399,1.797888344,3.75,0.5,15,1,9,1,"H"
"115","H1323",15,29,12,9,5,13,28,15,4,22,0.19637931,0.2388125,0.2402,0.243256015,15,8,12,11,8.158,4.617,2.106,6.171888344,4.25,0,17,1,9,1,"H"
"116","H1323",15,30,12,3,4,7,19,2,3,9,0.20355,0.281,0.37825,0.304788834,7,7,7,3,4.352,1.606,2.231,3.609888344,5.75,0.5,23,1,9,1,"H"
"117","H1323",16,31,12,6,12,7,23,5,16,7,0.2275,0.223666667,0.255117647,0.273111043,7,7,3,11,7.066,2.028,4.837,2.525888344,5.25,0,21,1,9,1,"H"
"118","H1323",16,32,15,11,10,9,22,21,13,12,0.209565217,0.229772727,0.277714286,0.350376026,2,15,8,15,7.16,5.055,4.478,5.224888344,4.5,0,18,1,9,1,"H"
"119","H1323",17,33,18,4,11,13,39,3,12,23,0.2601,0.2225,0.302538462,0.188120348,2,8,2,1,10.732,1.934,4.697,5.450888344,3.25,0,13,1,9,1,"H"
"120","H1323",17,34,9,4,7,4,15,5,7,3,0.3060625,0.1195,0.18725,0.577972086,3,13,7,7,4.897,1.405,1.934,2.311888344,4.75,0,19,1,9,1,"H"
"121","H1323",18,35,11,12,9,1,23,15,15,0,0.223,0.324625,0.2574375,0.358,8,15,15,15,5.898,5.194,4.696,1.033888344,5,0.5,20,1,9,1,"H"
"122","H1323",18,36,15,9,9,6,51,14,11,5,0.137711538,0.1466,0.2275,0.137648057,7,13,1,13,7.161,2.621,3.104,1.295888344,3.25,0,13,1,9,1,"H"
"123","H1323",19,37,11,10,4,9,15,26,4,9,0.27725,0.304555556,0.3056,0.224788834,8,8,3,11,5.398,8.223,2.494,3.184888344,3.25,0,13,1,9,1,"H"
"124","H1323",19,38,9,5,7,12,15,4,18,21,0.2145,0.3182,0.138684211,0.291222197,7,7,12,12,3.604,1.591,3.135,6.892888344,5.5,0,22,1,9,1,"H"
"125","H1323",20,39,10,7,18,1,18,6,27,0,0.127315789,0.365714286,0.268428571,0.452,12,15,15,15,4.244,2.56,8.297,0.779888344,5.75,0.5,23,1,9,1,"H"
"126","H1342",1,1,14,20,7,15,29,97,18,37,0.188266667,0.257418367,0.220842105,0.312657749,5,4,4,1,34.008,30.483,7.16,15.10999448,3,0,12,0,7,0,"H"
"127","H1342",1,2,20,4,13,7,119,5,18,9,0.231916667,0.236666667,0.239736842,0.1887,6,9,6,10,35.566,2.824,5.631,4.493,4.75,0,19,0,7,0,"H"
"128","H1342",2,3,18,2,4,1,56,1,3,0,0.234807018,0.3355,0.148,0.437,4,4,4,4,33.447,0.671,0.592,0.843,2,1,24,0,7,0,"H"
"129","H1342",2,4,20,2,19,8,167,1,60,15,0.282940476,0.211,0.272606557,0.213749655,7,8,2,7,48.438,0.624,17.691,4.386994477,4.5,0,18,0,7,0,"H"
"130","H1342",3,5,20,2,4,6,74,2,3,8,0.237506667,0.166333333,0.199,0.162888889,4,4,9,6,24.242,0.499,0.796,2.744994477,3.5,0,14,0,7,0,"H"
"131","H1342",3,6,17,4,2,10,33,3,2,16,0.319352941,0.21075,0.265,0.361529412,5,8,8,1,10.92,0.843,0.795,7.629,3,0,12,0,7,0,"H"
"132","H1342",4,7,20,4,6,13,81,3,8,13,0.290695122,0.22625,0.095333333,0.183857143,9,4,7,4,25.537,0.936,0.858,3.162994477,3.5,0,14,0,7,0,"H"
"133","H1342",4,8,20,1,11,5,74,0,16,6,0.372946667,0.437,0.378117647,0.317999211,5,5,5,8,29.141,1.358,7.161,3.021994477,4.25,0.5,17,0,7,0,"H"
"134","H1342",5,9,20,5,4,9,102,7,4,11,0.280951456,0.18125,0.5678,0.652166206,1,1,1,1,30.903,2.434,3.463,9.604994477,3,1,36,0,7,0,"H"
"135","H1342",5,10,20,3,12,4,139,2,19,3,0.301635714,0.202666667,0.23795,0.1325,9,5,9,9,42.229,0.608,5.664,0.593,4.25,0.5,17,0,7,0,"H"
"136","H1342",6,11,20,5,14,13,77,8,20,19,0.253602564,0.124777778,0.185714286,0.294899724,8,2,2,5,19.984,2.356,4.695,7.066994477,3.75,0,15,0,7,0,"H"
"137","H1342",6,12,20,2,3,3,62,1,2,2,0.286,0.499,0.187333333,0.280666667,6,9,3,4,20.514,0.998,0.562,0.915994477,4.25,0,17,0,7,0,"H"
"138","H1342",7,13,15,2,14,5,37,1,15,6,0.361657895,0.5865,0.3588125,0.50957064,8,8,2,8,15.007,1.81,6.489,4.456994477,2.5,0.5,10,1,7,1,"H"
"139","H1342",7,14,20,2,5,2,47,1,4,1,0.276583333,0.4525,0.3056,0.2185,14,7,11,14,13.276,0.905,1.528,0.820994477,4,0,16,1,7,1,"H"
"140","H1342",8,16,20,1,1,2,90,0,0,1,0.306857143,0.468,0.265,0.240497239,2,2,2,15,28.954,0.468,0.452,1.448994477,4.5,0.5,18,1,7,1,"H"
"141","H1342",9,17,20,3,2,1,78,2,1,0,0.310417722,0.187333333,0.5695,0.094,12,2,12,12,24.554,0.734,1.934,0.39,4.75,0.5,19,1,7,1,"H"
"142","H1342",9,18,19,2,3,3,66,1,2,3,0.277074627,0.382,0.26,0.44075,11,14,14,13,19.219,0.764,2.201,2.433,3,0,12,1,7,1,"H"
"143","H1342",10,19,19,2,3,20,67,1,2,89,0.281029412,0.3045,0.286,0.422377716,1,11,7,13,19.5,0.609,0.858,39.87199448,3.75,0,15,1,7,1,"H"
"144","H1342",10,20,17,3,2,3,39,2,1,2,0.308475,0.234,0.351,0.311664826,14,15,2,15,13.011,0.702,0.795,1.605994477,4.75,0,19,1,7,1,"H"
