Gene,logFC,FDR
1810012P15Rik,-1.230794145,0.0103281
1810013D10Rik,0.397186146,0.335792
1810013L24Rik,0.218890721,0.486896
1810014B01Rik,-0.322864332,0.898211
1810014F10Rik,1.079400877,0.018213
1810019J16Rik,0.77596088,0.070655
1810020D17Rik,-0.756148964,0.193289
1810022C23Rik,0.117010426,0.924088
1810022K09Rik,0.274651062,0.732116
1810024B03Rik,-0.222671545,0.818881
1810026J23Rik,0.079659425,0.902418
1810027O10Rik,0.148669987,0.784718
1810029B16Rik,0.206391649,0.790382
1810030J14Rik,3.94659987,0.00124178
1810030N24Rik,-0.198755014,0.746704
1810030O07Rik,-0.072094419,0.858012
1810031K17Rik,0.109069492,0.753813
1810032O08Rik,-0.391043931,0.513748
1810033B17Rik,0.230012084,0.522762
1810035L17Rik,0.293144628,0.809133
1810037I17Rik,0.200547897,0.649341
1810041L15Rik,-1.123609145,0.0923584
1810043G02Rik,-0.073883159,0.91497
1810043H04Rik,0.020684246,0.980358
1810046J19Rik,0.528540125,0.348768
1810046K07Rik,-1.478920088,1
1810048J11Rik,-0.825856037,0.118734
1810049H13Rik,-0.079636368,0.937798
1810053B01Rik,1.54046547,0.357085
1810055G02Rik,-0.227193,0.60544
1810058I24Rik,0.093239803,0.847637
1810062O18Rik,0.334012453,0.940294
1810063B05Rik,0.180736827,0.766152
1810063B07Rik,-0.345636436,0.487667
1810064F22Rik,0.326937222,0.646034
1810065E05Rik,0,1
1810074P20Rik,-0.100600475,0.811675
2010000I03Rik,0.078272048,0.943371
2010001E11Rik,0.53578341,1
2010001M06Rik,-0.204566698,0.924271
2010001M09Rik,-0.660089842,0.291691
2010002M12Rik,1.055456229,0.42284
2010002N04Rik,0.447298856,0.175342
2010003K11Rik,2.235849036,1
2010003K15Rik,0,1
2010005H15Rik,1.597014575,0.740221
2010007H12Rik,0.03016145,0.969569
2010011I20Rik,0.044608205,0.926502
2010012O05Rik,0.012894556,0.98449
2010015L04Rik,-1.1980986,0.144381
2010016I18Rik,1.565404025,0.0198989
2010106E10Rik,0,1
2010106G01Rik,0.204738778,0.429989
2010107E04Rik,0.354724205,0.426366
2010107G12Rik,1.27885843,0.0660989
2010107G23Rik,-0.1040235,0.884185
2010107H07Rik,-0.604193421,0.352735
2010109I03Rik,4.3757874,0.000670633
2010109K11Rik,0.635754133,0.0296236
2010110P09Rik,-1.210596461,0.153545
2010111I01Rik,0.267018692,0.631292
2010209O12Rik,0.324784632,0.89689
2010300C02Rik,0.211956466,0.524193
2010305A19Rik,-0.166346212,0.764892
2010315B03Rik,0.286685664,0.530392
2010317E24Rik,1.672996755,0.0336426
2010320M18Rik,-0.078478015,0.924945
2010321M09Rik,0.217908157,0.572486
2200002D01Rik,1.160289268,0.0259131
2200002J24Rik,3.304737358,0.344241
2200002K05Rik,1.158244814,0.0886979
2210009G21Rik,0.54971374,0.507761
2210010C04Rik,0.395726396,1
2210010C17Rik,1.61862169,0.0298815
2210012G02Rik,-0.076483481,0.900234
2210013O21Rik,-0.354918839,0.449381
2210015D19Rik,-0.311979649,0.617196
2210016F16Rik,0.313451745,0.366284
2210016L21Rik,-0.227055686,0.570326
2210018M11Rik,-0.40727012,0.290391
2210020M01Rik,-0.886294453,0.542337
2210021J22Rik,-0.17268158,0.753866
2210023G05Rik,2.519103162,0.129469
2210403K04Rik,0.374500435,0.238851
2210404J11Rik,-0.608418848,0.352084
2210404O07Rik,0.670428202,0.405651
2210407C18Rik,8.627970674,0.341367
2210408I21Rik,-0.48500901,0.500938
2210409E12Rik,4.016232607,0.512622
2210411K11Rik,1.081896939,0.0212526
