Gene,FDR,FC
Adcy8,0.006303923,0.160960983
Adcy9,0.005254647,0.294279748
Add3,0.017685767,0.39803311
Adh1,0.001774042,0.056632916
Adipor2,0.003781606,0.435019814
Adk,6.07E-05,0.307165184
Adk,0.000377311,0.342615772
Adm2,0.000291015,10.61878083
Adra1a,0.012531938,0.300720985
Adra2b,0.00886122,0.483450508
Adra2c,0.001130212,0.351110787
Adrb1,0.000233296,0.085586865
Adrb1,0.00078668,0.233656818
Adrb2,0.001145645,0.354888087
Adrb3,0.005949673,0.113356633
Adrb3,0.001245728,0.275116507
Adss,0.001666643,2.35872033
Aen,0.00182248,2.104390039
Aen,0.005134339,2.050843711
Afap1l1,0.000845495,0.07345466
Aff2,0.001860359,0.448676513
Aff3,0.001787016,0.157440219
Aff3,0.050265563,0.54282704
Afp,0.000613899,7.597291502
Afp,0.000475412,7.48043509
Afp,0.000559497,7.451378796
Afp,0.000331433,7.433466063
Afp,0.0004165,7.29252053
Afp,0.000564273,7.193481978
Afp,0.000219454,7.184185463
Afp,0.000563088,6.952166388
Afp,0.000438809,6.903415716
Afp,0.00022193,6.870429885
Agap1,0.00199539,0.390866538
Agap2,0.002921582,0.341742587
Agbl2,0.000154625,0.204336682
Agbl2,0.002901935,0.280422211
Ager,0.003901572,0.073833946
Agpat4,0.001590774,0.156986404
Agpat5,0.002939208,1.988242102
Agpat9,2.24E-05,2.193041658
Agr2,0.000769937,363.8722209
Agtr1a,8.90E-05,0.076795008
Ahnak,0.000169219,0.410108034
Ahnak,0.00126535,0.441551183
Ahnak2,0.005526763,2.096219467
AI646023,0.003143653,0.402433282
AI661453,0.000165071,8.692418389
AI661453,0.001993343,4.671769896
AI848100,0.001302011,2.332878271
AI854703,0.000488089,4.680127688
Aig1,0.000119516,2.660497689
Ak4,0.000605207,7.144223143
Ak4,0.019721644,2.830571213
Ak7,0.00054688,0.216379232
Ak8,0.000456351,0.218820766
Ak8,0.000146542,0.224988827
Ak8,0.000510833,0.226397346
Ak8,0.000395096,0.236575253
Ak8,0.000247567,0.242973398
Ak8,0.000194554,0.245301652
Ak8,0.000216217,0.245981559
Ak8,0.00284167,0.24835054
Ak8,0.003404264,0.286490163
Akap12,0.004122279,0.249575202
Akap12,0.000354553,0.288819165
Akap13,0.003597641,0.39508258
Akap13,0.004986897,0.41431645
Akap13,4.03E-05,0.428102424
Akap14,0.001079806,0.125289163
Akap2,0.000422187,0.074469586
Akap2,0.000614225,0.125179857
Akap5,0.00143956,0.086175646
Akap7,0.001438798,0.365383182
Akap7,0.001530136,0.456122511
Akap8l,0.02335241,0.563239373
Akd1,0.003818421,0.226295623
Akna,0.00078445,0.328363898
Akr1b8,0.000740716,5.989807785
Akr1b8,0.000756885,5.898827277
