SPRING-x	SPRING-y	Annotation
-965.681	-957.804	Baso
586.046	-425.155	Undifferentiated
2701.839	-105.553	Monocyte
1898.381	-2173.19	Neutrophil
2453.603	-810.556	Undifferentiated
-856.926	-2093.077	Baso
-883.451	-1944.612	Baso
-1796.716	695.408	Meg
-27.318	183.571	Undifferentiated
828.294	-597.134	Undifferentiated
2086.523	-599.695	Undifferentiated
-1854.453	-977.722	Mast
962.035	-1743.516	Neutrophil
1582.968	-2165.998	Neutrophil
734.195	-1567.31	Neutrophil
2281.815	-1891.794	Neutrophil
3015.02	334.466	Monocyte
-1062.43	-1912.236	Baso
1326.0	-2160.277	Neutrophil
698.634	-988.445	Neutrophil
2042.012	-375.324	Monocyte
582.165	-621.649	Undifferentiated
-662.035	-351.567	Undifferentiated
855.773	-224.145	Undifferentiated
1705.819	-383.693	Monocyte
2949.585	230.905	Monocyte
-1074.257	-1358.112	Baso
1396.519	-2183.781	Neutrophil
1049.266	-2000.422	Neutrophil
2097.437	-1207.608	Undifferentiated
-915.144	-797.715	Baso
2412.081	-1968.379	Neutrophil
1792.452	-2071.681	Neutrophil
2429.977	-2022.924	Neutrophil
2542.039	-1980.102	Neutrophil
595.424	-640.389	Undifferentiated
608.125	-624.643	Undifferentiated
3015.674	486.693	Monocyte
2966.847	731.014	Monocyte
-1016.093	-998.279	Baso
-966.382	-944.034	Baso
2159.926	-378.028	Monocyte
1162.481	-409.495	Undifferentiated
3002.48	555.536	Monocyte
639.85	-1144.481	Neutrophil
-1011.248	-1727.207	Baso
2589.032	-1942.688	Neutrophil
1635.509	-2087.643	Neutrophil
672.739	-1000.298	Neutrophil
749.457	-1154.033	Neutrophil
979.704	-1945.919	Neutrophil
456.453	-251.943	Undifferentiated
932.006	-624.19	Undifferentiated
-1359.169	-621.857	Mast
789.79	-1736.521	Neutrophil
1819.31	-2081.553	Neutrophil
2305.696	-2055.509	Neutrophil
-1837.223	-927.057	Mast
2661.667	-1002.069	Neutrophil
2744.209	-87.753	Monocyte
1747.418	-2178.575	Neutrophil
492.648	-216.885	Undifferentiated
833.259	-471.118	Undifferentiated
1737.705	-338.056	Monocyte
-1078.018	233.536	Undifferentiated
-1831.136	-949.957	Mast
1457.521	-2192.557	Neutrophil
2448.648	-160.971	Monocyte
1515.082	794.681	Undifferentiated
1855.678	-2102.691	Neutrophil
-1007.735	-1999.38	Baso
2386.12	-1907.553	Neutrophil
2947.663	272.092	Monocyte
2387.624	-2032.382	Neutrophil
675.694	-904.54	Neutrophil
619.519	-1160.368	Neutrophil
1346.24	-2155.131	Neutrophil
1713.354	-362.439	Monocyte
571.109	-1036.538	Neutrophil
-1929.624	816.23	Meg
-1067.502	-1275.488	Baso
721.11	-1526.756	Neutrophil
2633.238	490.96	Monocyte
2037.778	-2122.18	Neutrophil
2943.361	397.355	Monocyte
616.686	-784.091	Undifferentiated
1868.136	-2149.985	Neutrophil
1411.718	-2008.822	Neutrophil
608.389	-1080.986	Neutrophil
-572.505	-259.223	Undifferentiated
601.993	-316.929	Undifferentiated
351.82	114.305	Undifferentiated
600.075	-1156.415	Neutrophil
145.502	323.087	Undifferentiated
-1466.033	-691.747	Mast
2265.319	301.979	Undifferentiated
2925.01	291.96	Monocyte
1936.979	-2151.696	Neutrophil
887.236	-1750.625	Neutrophil
-825.649	-2150.375	Baso
2720.937	-1836.686	Neutrophil
2790.425	-1757.615	Neutrophil
721.712	-549.503	Undifferentiated
596.015	-934.395	Neutrophil
2302.02	-72.92	Monocyte
585.298	-793.23	Undifferentiated
1035.472	248.654	Undifferentiated
-1250.489	235.703	Erythroid
2593.834	-640.334	Undifferentiated
1399.704	-2172.894	Neutrophil
2989.723	410.867	Monocyte
2467.926	-93.558	Monocyte
-1002.64	-1100.875	Baso
651.087	-1268.641	Neutrophil
2584.589	-1746.321	Neutrophil
578.326	-500.225	Undifferentiated
612.284	-505.291	Undifferentiated
-1827.074	-962.042	Mast
-836.635	-102.151	Undifferentiated
2363.441	-152.152	Monocyte
2993.184	386.182	Monocyte
2463.552	-718.064	Undifferentiated
588.261	-646.541	Undifferentiated
1692.858	-370.429	Monocyte
2442.566	-1195.295	Undifferentiated
1585.467	-2207.451	Neutrophil
-952.457	-1827.585	Baso
701.176	-1180.271	Neutrophil
-918.977	-1889.89	Baso
618.983	-520.107	Undifferentiated
794.036	-527.406	Undifferentiated
675.998	-1401.93	Neutrophil
629.354	-438.169	Undifferentiated
1337.499	-113.928	Undifferentiated
558.277	-1157.481	Neutrophil
1358.032	-2151.459	Neutrophil
-1098.014	-1889.424	Baso
995.74	-1927.539	Neutrophil
-1048.187	-1725.613	Baso
2358.78	-645.514	Undifferentiated
2686.977	-1890.242	Neutrophil
689.331	-1254.713	Neutrophil
1001.949	-387.59	Undifferentiated
1201.313	-295.629	Undifferentiated
646.062	-448.787	Undifferentiated
570.241	-568.505	Undifferentiated
2028.878	-258.053	Monocyte
2953.293	320.797	Monocyte
2742.261	-41.942	Monocyte
2412.955	-296.222	Monocyte
2170.413	-407.799	Monocyte
1424.563	-2150.889	Neutrophil
2567.747	-619.165	Undifferentiated
1891.928	-189.937	Monocyte
2081.981	-2102.423	Neutrophil
2530.683	-1789.832	Neutrophil
996.164	-272.057	Undifferentiated
680.976	-1300.578	Neutrophil
556.16	-596.131	Undifferentiated
-1606.656	-795.6	Mast
3032.981	510.678	Monocyte
192.821	429.241	Undifferentiated
-849.715	-634.981	Undifferentiated
2872.096	236.675	Monocyte
1360.096	-2149.329	Neutrophil
2601.697	-505.253	Undifferentiated
3020.145	596.268	Monocyte
2631.185	-1900.334	Neutrophil
1376.465	-2156.511	Neutrophil
1173.251	-2092.934	Neutrophil
1625.317	-327.958	Monocyte
-1161.282	314.085	Undifferentiated
625.325	-1207.481	Neutrophil
-1056.457	-1113.39	Baso
-551.397	-1491.61	Eos
2462.656	-415.63	Monocyte
2896.239	397.316	Monocyte
584.448	-777.741	Undifferentiated
1866.584	-2148.104	Neutrophil
-1079.044	-1809.242	Baso
2629.231	-1863.814	Neutrophil
2395.832	-461.044	Monocyte
600.288	-1324.395	Neutrophil
701.193	-1279.272	Neutrophil
416.309	-148.498	Undifferentiated
-606.533	-297.712	Undifferentiated
254.857	346.821	Undifferentiated
60.862	408.002	Undifferentiated
1599.885	-2216.013	Neutrophil
2429.072	-1113.007	Undifferentiated
-1067.708	-1244.506	Baso
-1876.862	-959.274	Mast
2412.401	-1185.394	Undifferentiated
663.425	-1361.909	Neutrophil
2856.605	92.048	Monocyte
2397.126	-1981.079	Neutrophil
2567.418	-123.011	Monocyte
-1771.845	1267.135	Meg
739.074	-835.865	Undifferentiated
454.9	-8.795	Undifferentiated
288.072	230.073	Undifferentiated
1852.908	-358.153	Monocyte
-1101.831	-1838.207	Baso
507.462	305.285	Undifferentiated
2563.08	-469.45	Undifferentiated
443.472	-21.309	Undifferentiated
-814.204	-2139.192	Baso
1944.214	-2173.348	Neutrophil
2066.099	-240.496	Monocyte
-680.347	364.421	Undifferentiated
573.263	-330.6	Undifferentiated
1535.801	-480.115	Monocyte
328.529	179.767	Undifferentiated
-1022.796	-1162.054	Baso
514.305	-597.021	Undifferentiated
-114.791	359.37	Undifferentiated
