naive_hESC_rep1	naive_hESC_rep2	naive_hESC_rep3	naive_hESC_rep4	primed_hESC_rep1	primed_hESC_rep2	primed_hESC_rep3	primed_hESC_rep4	exonlength
AFM	0	0	0	0	3	0	0	1	1982
AFMID	419	420	362	370	177	197	127	228	4073
AFP	0	0	0	1	272	55	25	26	2017
AFTPH	496	583	496	617	467	384	595	568	12167
AGA	112	109	70	119	66	53	136	108	6174
AGAP1	931	1026	770	913	778	715	792	932	23661
AGAP11	30	47	64	56	68	77	47	66	3143
AGAP2	2	4	6	6	1	4	1	5	10661
AGAP3	104	201	128	126	99	95	30	63	5250
AGAP4	102	120	147	101	119	178	84	141	2424
AGAP5	68	93	131	92	112	145	81	141	2418
AGAP6	123	201	276	247	173	298	153	237	2764
AGAP7	72	70	124	102	110	135	90	120	2413
AGAP8	68	97	133	114	125	143	93	119	2413
AGAP9	124	170	234	184	238	262	143	167	4758
AGBL1	0	0	1	1	0	0	0	0	3469
AGBL2	1	2	6	4	62	46	82	70	3574
AGBL3	7	5	10	6	20	38	34	35	3516
AGBL4	36	19	27	30	0	0	0	1	2974
AGBL5	132	196	167	182	189	153	105	236	5648
AGER	3	20	20	21	18	15	7	13	100541
AGFG1	1999	1690	1424	1901	1761	1821	1984	1921	34552
AGFG2	68	88	125	117	23	15	12	26	4799
AGGF1	1008	1289	897	1040	729	621	738	688	4494
AGK	538	505	518	653	442	379	376	500	2909
AGL	7500	7816	5880	7893	1786	1130	790	685	43260
AGMAT	137	159	405	277	176	242	121	258	3147
AGMO	16	30	83	63	59	60	46	70	2462
AGPAT1	88	96	188	190	59	61	39	82	29995
AGPAT2	80	89	73	85	3	4	2	5	2989
AGPAT3	142	191	168	185	69	61	27	25	12971
AGPAT4	301	329	472	381	416	474	363	521	7870
AGPAT4-IT1	31	34	59	44	28	60	35	49	1850
AGPAT5	172	163	141	192	730	667	892	1038	5511
AGPAT6	1055	1161	781	660	315	266	186	352	6297
AGPAT9	192	163	172	247	19	2	7	9	7946
AGPHD1	18	30	25	33	51	38	81	58	2073
AGPS	710	877	411	669	800	701	1009	775	7645
AGR2	2	0	1	2	2	1	2	0	975
AGR3	0	0	0	0	1	0	0	0	742
AGRN	203	325	523	418	93	86	36	128	7290
AGRP	0	1	0	0	0	0	0	0	760
AGSK1	0	0	2	0	0	0	0	0	7655
AGT	0	0	0	0	0	0	0	0	2576
AGTPBP1	833	820	439	607	798	649	1297	1011	4393
AGTR1	10	3	8	12	7	5	2	3	11587
AGTR2	2	9	18	9	57	62	1	5	2896
AGTRAP	109	124	81	86	37	43	25	52	5985
AGXT	0	0	0	0	0	0	0	0	1587
AGXT2	0	0	0	0	1	2	0	0	2392
AGXT2L1	0	0	1	1	39	38	26	17	10320
AGXT2L2	56	112	123	131	34	33	15	39	2000
AHCTF1	3541	3375	3677	4945	4105	3297	7320	4948	8595
AHCY	1294	1348	661	806	368	358	334	457	4558
AHCYL1	5655	7480	3866	5546	2706	2148	2814	2972	19923
AHCYL2	1473	1761	1336	1553	921	901	1466	1182	20044
AHDC1	37	83	105	91	44	39	48	60	6489
AHI1	73	106	143	118	515	480	816	631	20263
AHNAK	4117	3873	4632	2987	6443	3175	1712	2774	19894
AHNAK2	30	43	41	39	163	123	109	112	18310
AHR	136	130	177	192	481	419	542	456	6236
AHRR	3	3	19	12	14	8	5	2	11243
AHSA1	2005	2224	1796	2444	384	272	346	464	1391
AHSA2	112	296	505	303	306	303	182	323	3025
AHSG	0	1	2	0	0	0	0	1	1566
AHSP	0	0	0	1	0	0	3	0	503
AICDA	44	49	172	127	90	117	77	108	2789
AIDA	1140	1034	725	1192	2178	2089	3971	2315	2996
AIF1	0	0	0	0	6	9	39	21	15726
AIF1L	1699	1682	963	1397	494	533	476	675	13752
AIFM1	1313	1709	1061	1318	391	350	327	422	10258
AIFM2	161	256	202	203	36	74	34	75	6479
AIFM3	3	5	1	8	0	2	0	2	9359
AIG1	3	10	11	6	289	300	368	422	1379
AIM1	419	523	537	621	630	599	877	796	7532
AIM1L	148	194	209	99	7	2	6	10	5225
AIM2	0	0	1	0	12	19	20	13	1478
AIMP1	1627	2189	1249	1620	690	548	896	700	8231
AIMP2	141	125	126	166	61	64	56	80	1215
AIP	112	175	108	77	17	18	4	12	1227
AIPL1	53	103	233	134	92	110	119	146	8528
AIRE	33	65	152	99	10	21	11	14	4199
AJAP1	10	9	9	7	78	64	41	44	4981
AJUBA	405	317	289	368	158	116	75	159	7480
AK1	63	99	151	119	69	71	44	80	2259
AK2	2602	2751	2775	2916	1244	1214	1419	1579	16708
AK3	189	273	414	340	784	827	1026	941	20658
AK4	7587	5384	3805	7577	3404	2717	3209	2761	20749
AK5	80	87	86	95	106	92	173	188	7233
AK7	5	8	3	6	27	25	28	45	2630
AK8	2	2	0	1	4	6	1	0	2093
AKAP1	4071	3858	3315	3162	265	299	321	425	12234
AKAP10	597	550	538	610	410	412	480	471	2901
AKAP11	824	732	684	831	1147	975	2174	1286	9907
AKAP12	33271	31213	34986	38359	5002	4049	7645	8504	16656
AKAP13	1289	1513	1296	1451	3011	2345	3153	3002	34575
AKAP14	7	1	1	0	5	3	13	2	1955
AKAP17A	376	484	392	404	141	125	87	133	12942
AKAP2	0	0	0	0	0	1	0	1	20753
AKAP3	276	280	213	252	20	11	6	15	3015
AKAP4	0	0	0	0	3	2	1	0	5714
AKAP5	154	207	489	339	283	345	259	407	6485
AKAP6	58	54	51	49	83	39	64	65	10373
AKAP7	48	31	36	48	107	132	135	142	7918
AKAP8	1390	1245	1026	1070	384	412	299	468	3529
AKAP8L	585	623	531	710	243	187	261	250	2100
AKAP9	1735	1447	1651	1657	3251	2698	4793	2649	24802
AKD1	11	7	10	5	43	50	69	42	8830
AKIP1	143	185	336	227	114	150	91	144	7778
AKIRIN1	2574	2333	1863	2688	1111	1077	986	1373	5308
AKIRIN2	600	579	445	652	393	367	622	352	1927
AKIRIN2-AS1	20	17	38	34	25	30	28	43	442
AKNA	533	640	619	688	120	131	72	164	7361
AKNAD1	6	7	9	4	2	0	1	0	3032
AKR1A1	829	894	540	515	241	302	186	317	5846
AKR1B1	474	570	312	457	217	209	162	252	1388
AKR1B10	24	36	123	64	53	54	27	56	1586
AKR1B15	0	0	1	1	6	0	0	2	1613
AKR1C1	0	0	0	0	10	6	3	8	1370
AKR1C2	0	1	1	1	18	15	3	4	8183
AKR1C3	0	0	0	0	18	12	9	5	3468
AKR1C4	0	1	0	0	0	1	0	1	1183
AKR1CL1	0	0	0	0	1	0	0	0	2119
AKR1D1	35	37	69	47	67	51	29	55	7899
AKR1E2	11	7	12	6	28	12	4	13	1597
AKR7A2	72	66	134	83	83	114	87	133	2612
AKR7A2P1	1	8	16	13	5	5	1	6	1323
AKR7A3	0	3	3	6	2	5	4	3	1234
AKR7L	5	6	7	4	11	13	10	24	4419
AKT1	276	392	414	440	65	50	21	63	8575
AKT1S1	136	106	157	221	17	15	10	22	6151
AKT2	1018	1192	1156	1482	405	408	316	510	15692
